Customer_Issue,Tech_Response
Windows update stuck at 0% or 100%,"Restart Windows Update service, clear SoftwareDistribution folder, and retry update."
Device driver failed after update,"Roll back driver in Device Manager, download latest version from manufacturer’s site, or reinstall driver package."
Time not syncing with domain,"Run w32tm /resync, verify NTP server settings, and check domain controller time configuration."
BitLocker recovery key required at boot,"Retrieve key from Microsoft/AD account, ensure TPM is enabled in BIOS, and check for recent hardware changes that triggered BitLocker."
Smart card login not working,"Verify smart card reader driver, confirm certificate validity, and test with another smart card."
User cannot authenticate to domain,"Verify user account is active and not locked. Check Kerberos clock skew (time sync with DC), DNS resolution, and domain trust status."
Group Policy not applying,"Run gpresult /r to check applied policies. Ensure GPO is linked to correct OU, permissions are correct, and replication is working between domain controllers."
High CPU usage on a production server,"Identify top processes in Task Manager/Resource Monitor. Check for runaway services (e.g., SQL, IIS, antivirus). Patch software, optimize queries, or scale resources if usage is expected."
"Critical service not starting (e.g., SQL Server, DHCP, Exchange)","Check Windows Event Viewer for error codes, verify service dependencies, confirm ports aren’t blocked by firewall, and test service account credentials."
File server shares not accessible,"Check if the server is online and reachable (ping). Verify SMB service is running, confirm NTFS/share permissions, and ensure firewall isn’t blocking SMB ports (445)."
Account compromised (suspicious login activity),"Force password reset, revoke sessions, enable MFA, and review security logs. Run endpoint scans and check mail forwarding rules for malicious changes."
Certificate expired on production server,"Generate or request a new SSL/TLS certificate, bind it to the service (IIS, Apache, Nginx), and test connectivity. Ensure monitoring is set for future expiry alerts."
Network outage on a specific VLAN,"Verify switch configuration, check trunking and VLAN tagging, ensure spanning-tree protocol hasn’t blocked the port, and confirm DHCP scope availability."
Firewall blocking business application,"Identify required ports/protocols, check firewall rules, temporarily disable rule to test, then apply least privilege policy for required traffic."
DNS server not resolving queries,"Check if DNS service is running, flush DNS cache, verify forwarders, and ensure root hints are configured correctly."
VM won’t start in Hyper-V/VMware,"Check for insufficient host resources (CPU/RAM), review event logs, confirm datastore availability, and repair corrupted VM configuration files if needed."
Azure AD sync not working,"Run Start-ADSyncSyncCycle -PolicyType Delta in PowerShell. Check Azure AD Connect health, verify credentials, and confirm sync rules."
Cloud storage access denied,"Verify IAM/role permissions, check conditional access policies, and confirm account has not been blocked by security policy."
Account locked due to repeated failed logins (brute-force attempt suspected),"Unlock account in ADUC, enforce password reset, review security logs for suspicious IPs, and enable account lockout policy thresholds with monitoring."
Service account password expired,"Reset service account password in AD, update credentials in dependent services (IIS, SQL, scheduled tasks), and convert to managed service accounts if possible"
Orphaned accounts found in Active Directory,"Run AD reports to identify inactive accounts. Disable accounts unused for 90+ days, then remove after verification with HR/management."
Privilege escalation via misconfigured group membership,"Audit group memberships (Domain Admins, Enterprise Admins), remove unnecessary accounts, and enforce least-privilege principle."
User cannot change password (greyed out option),Check ADUC for “User cannot change password” flag. Ensure password change policy applies to the correct OU and check for fine-grained password policies.
Patch failed to install repeatedly,"Clear SoftwareDistribution and Catroot2 folders, restart Windows Update service, and retry. If still failing, manually install via Microsoft Update Catalog."
Patch causes application incompatibility,"Roll back update, test patch in staging environment, apply vendor compatibility fix, and deploy via WSUS/SCCM after validation."
Missing critical security patches across multiple servers,"Run vulnerability scan, cross-check with WSUS/SCCM reports, prioritize CVSS scoring, and schedule immediate patch deployment on critical systems."
Cumulative update stuck in pending restart state,"Check pending.xml in C:\Windows\WinSxS, delete if corrupted, restart Windows Update services, and apply update again."
Patch rollback after reboot,"Check Event Viewer for failure codes, run DISM /Online /Cleanup-Image /RestoreHealth, and reapply patch. Escalate to Microsoft support if persistent."
Zero-day patch deployment required,"Identify affected systems, apply emergency patch from vendor immediately (out-of-band), enforce reboots, and monitor logs for exploitation attempts."
SAML authentication failure for SaaS application,"Verify federation metadata, check certificate validity, confirm correct entity IDs and ACS URLs, and sync clocks between IdP and SP."
AWS IAM user locked out due to MFA misconfiguration,Use root account or another IAM admin to disable/reset MFA. Reconfigure MFA for the locked user and review IAM policies for redundancy.
Azure AD Conditional Access blocking compliant device,"Ensure device is properly enrolled in Intune, compliance policies are met, and device record is synced. Re-sync from Company Portal app"
Outlook OST file corruption,"Close Outlook, delete/recreate OST file, allow re-sync from Exchange/Office365. Use ScanOST or ScanPST tools if needed."
Exchange mailbox database dismounted,"Check disk space, run eseutil /mh to inspect database status, mount database in Exchange Admin Center, and restore from backup if corrupted."
VM snapshot chain corrupted,"Consolidate snapshots, delete unused ones, and restore from last consistent backup if corruption persists."
Docker container won’t start due to port binding,Run docker ps -a to check conflicting ports. Stop/remove containers blocking the port or remap ports with -p host:container.
Kubernetes pod stuck in CrashLoopBackOff,"Run kubectl logs <pod> to review errors, check resource limits, and validate container image health. Adjust readiness/liveness probes if misconfigured."
Kerberos authentication failing intermittently,"Ensure time synchronization between domain members, verify SPN registrations (setspn -L), and check duplicate service accounts."
DHCP scope exhausted,"Extend the DHCP scope, reduce lease time, or add an additional scope. Identify “rogue devices” consuming excessive addresses."
Duplicate SID issue after system cloning,"Run Sysprep on cloned machines to generate unique SIDs. For existing systems, use sysprep /generalize or Microsoft’s SID reset tools."
Corrupted Windows profile,"Log in with admin account, rename corrupted profile under C:\Users, update registry at HKLM\Software\Microsoft\Windows NT\CurrentVersion\ProfileList, and force recreation of profile."
Database transaction log full (SQL Server / Oracle),"Back up transaction logs, shrink log file if required, and increase disk space. Long-term fix: adjust log backup frequency and check runaway transactions"
RAID array degraded,"Identify failed disk via RAID controller, replace with same model/size, rebuild array, and confirm data integrity. Ensure backups before proceeding."
Linux server stuck in emergency mode at boot,"Boot into recovery mode, check /etc/fstab for invalid disk entries, run fsck on affected partitions, and correct mount configurations."
Windows kernel power error,"Indicates improper shutdown or hardware instability. Check PSU, update BIOS/firmware, run memory diagnostics, and review system logs for driver crashes."
