Computer ID,System Type,RAM Usage (%),CPU Usage (%),Disk Usage (%),Network Status,MissingPatchsKB,affected microsoft product ,Plateforme,Type of security risk,Severity,Download,Download (Link),CVE identifier(s)
CMP-0098,Workstation,36.7,18.2,59.6,Online,5062618,Windows Server 2008 for 32-bit Systems Service Pack 2 (Server Core installation),Unknown Platform,Denial of Service,Important,Security Only,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062618,CVE-2025-49722
CMP-0099,Workstation,52.1,52.5,64.2,Online,5062624,Windows Server 2008 for 32-bit Systems Service Pack 2,Unknown Platform,Denial of Service,Important,Monthly Rollup,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062624,CVE-2025-49722
CMP-0100,Workstation,47.0,46.1,64.0,Online,5062618,Windows Server 2008 for 32-bit Systems Service Pack 2,Unknown Platform,Denial of Service,Important,Security Only,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062618,CVE-2025-49722
CMP-0101,Workstation,39.9,18.0,40.4,Unstable,5062560,Windows Server 2016 (Server Core installation),Unknown Platform,Denial of Service,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062560,CVE-2025-49722
CMP-0102,Workstation,43.2,15.5,62.9,Unstable,5062560,Windows Server 2016,Unknown Platform,Denial of Service,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062560,CVE-2025-49722
CMP-0103,Workstation,55.6,38.0,54.4,Online,5062560,Windows 10 Version 1607 for x64-based Systems,Unknown Platform,Denial of Service,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062560,CVE-2025-49722
CMP-0104,Workstation,63.5,45.1,43.5,Online,5062560,Windows 10 Version 1607 for 32-bit Systems,Unknown Platform,Denial of Service,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062560,CVE-2025-49722
CMP-0105,Workstation,67.3,53.8,44.5,Online,5062561,Windows 10 for x64-based Systems,Unknown Platform,Denial of Service,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062561,CVE-2025-49722
CMP-0106,Workstation,76.5,64.9,66.0,Online,5062561,Windows 10 for 32-bit Systems,Unknown Platform,Denial of Service,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062561,CVE-2025-49722
CMP-0107,Workstation,66.4,65.7,60.6,Online,5062553,Windows Server 2025,Unknown Platform,Denial of Service,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062553,CVE-2025-49722
CMP-0108,Workstation,53.1,47.1,77.2,Online,5062557,Windows Server 2019,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062557,CVE-2025-49678
CMP-0109,Workstation,57.5,65.3,58.1,Online,5062557,Windows 10 Version 1809 for x64-based Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062557,CVE-2025-49678
CMP-0110,Workstation,65.7,59.4,56.5,Online,5062557,Windows 10 Version 1809 for 32-bit Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062557,CVE-2025-49678
CMP-0111,Workstation,48.2,52.1,63.2,Offline,5062597,Windows Server 2012 R2 (Server Core installation),Unknown Platform,Elevation of Privilege,Important,Monthly Rollup,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062597,CVE-2025-49675
CMP-0112,Workstation,51.0,62.2,44.7,Online,5062597,Windows Server 2012 R2,Unknown Platform,Elevation of Privilege,Important,Monthly Rollup,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062597,CVE-2025-49675
CMP-0113,Workstation,62.5,48.8,62.0,Online,5062592,Windows Server 2012 (Server Core installation),Unknown Platform,Elevation of Privilege,Important,Monthly Rollup,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062592,CVE-2025-49675
CMP-0114,Workstation,41.5,34.1,83.4,Unstable,5062554,Windows 10 Version 22H2 for 32-bit Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062554,CVE-2025-49675
CMP-0115,Workstation,44.2,24.7,73.7,Unstable,5062554,Windows 10 Version 22H2 for ARM64-based Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062554,CVE-2025-49675
CMP-0116,Workstation,54.6,25.5,45.6,Unstable,5062554,Windows 10 Version 22H2 for x64-based Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062554,CVE-2025-49675
CMP-0117,Workstation,74.6,64.0,44.9,Online,5062552,Windows 11 Version 22H2 for x64-based Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062552,CVE-2025-49675
